小地方,#genre#
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
西藏卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000317/index.m3u8?IAS
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
厦门卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?IAS
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8

CCTV,#genre#
CCTV-1 综合,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV-2 财经,http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8
CCTV-3 综艺,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV-4 中文国际,http://ott.mobaibox.com/PLTV/3/224/3221227489/index.m3u8
CCTV-5 体育,http://ott.mobaibox.com/PLTV/3/224/3221227401/index.m3u8
CCTV-5+ 体育赛事,http://1752e145z8.vicp.fun:35455/gaoma/cctv5p.m3u8
CCTV-6 电影,http://ott.mobaibox.com/PLTV/3/224/3221227430/index.m3u8
CCTV-7 国防军事,http://1752e145z8.vicp.fun:35455/gaoma/cctv7.m3u8
CCTV-8 电视剧,http://ott.mobaibox.com/PLTV/3/224/3221227629/index.m3u8
CCTV-9 纪录,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV-10 科教,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8
CCTV-12 社会与法,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV-13 新闻,http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8
CCTV-14 少儿,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV-15 音乐,http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8
CCTV-16 奥林匹克,http://ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8
CCTV-17 农业农村,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
CCTV-4K 超高清,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k
黑莓动画,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/1.m3u8
